Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
ADPI-West,CA,Business Associate,1500,"Theft, Unauthorized Access/Disclosure",Desktop Computer,Yes
Landmark Medical Center,RI,Healthcare Provider,683,Theft,Laptop,No
University of Virginia Medical Center,VA,Healthcare Provider,1846,Loss,Other Portable Electronic Device,No
Carolinas Medical Center - Randolph,NC,Healthcare Provider,5600,Hacking/IT Incident,Email,No
"Coastal Behavioral Healthcare, Inc.",FL,Healthcare Provider,4907,Theft,Paper/Films,No
"CCS Medical, Inc.",TX,Healthcare Provider,6601,Unauthorized Access/Disclosure,"Network Server, Other",No
"City of Yuma, Privacy Manager Breach",AZ,,,,,No
"City of Corona, Privacy Manager Breach",CA,,,,,No
"North Lake Tahoe Fire Protection District, Privacy Manager Breach",NV,,,,,No
Columbia University Medical Center and NewYork-Presbyterian Hospital,NY,Healthcare Provider,4929,Theft,Desktop Computer,No
Health Advantage,AR,Health Plan,2863,Other,Paper/Films,No
Westerville Dental Center,OH,Healthcare Provider,850,Theft,"Laptop, Network Server",No
"OHP PHSP, Inc.",NY,,28187,Unauthorized Access/Disclosure,Other,Yes
"Center for Orthopedic Research and Education, Inc.",AZ,Healthcare Provider,35488,Theft,Paper/Films,No
Calif. Dept. of Health Care Services (DHCS),CA,Health Plan,2643,Unauthorized Access/Disclosure,Other,No
Richard Switzer MD PC,MI,Healthcare Provider,4100,Other,Laptop,No
Gibson General Hospital,IN,Healthcare Provider,28893,Theft,Laptop,No
"Sovereign Medical Group, LLC",NJ,Healthcare Provider,27800,"Hacking/IT Incident, Theft",Network Server,No
HP Enterprise Services,KY,Business Associate,1090,Theft,Laptop,Yes
"Clearpoint Design, Inc.",MA,Business Associate,4343,Hacking/IT Incident,Network Server,Yes
"Omnicell, Inc.",CA,Business Associate,56820,Theft,Laptop,Yes
St. Mark's Medical Center,TX,Healthcare Provider,2988,Hacking/IT Incident,Desktop Computer,No
Group Health Incorporated,NY,Health Plan,1771,Theft,Paper/Films,No
"Calvin Schuster,MD",CA,Healthcare Provider,532,Theft,Desktop Computer,No
"Clearpoint Design, Inc.",MA,Business Associate,4125,Hacking/IT Incident,Network Server,Yes
University of Nevada School of Medicine,NV,Healthcare Provider,1483,Improper Disposal,Paper/Films,No
WorkflowOne,OH,Business Associate,635,Unauthorized Access/Disclosure,Paper/Films,Yes
SilverScript Insurance Company,AZ,Health Plan,852,Unauthorized Access/Disclosure,Paper/Films,No
"Clearpoint Design, Inc.",MA,Business Associate,7250,Hacking/IT Incident,Network Server,Yes
Pousson Family Dentistry,LA,Healthcare Provider,1400,Theft,Laptop,No
"Clearpoint Design, Inc.",MA,Business Associate,4100,Hacking/IT Incident,Network Server,Yes
"Lee D. Pollan, DMD, PC",NY,Healthcare Provider,19178,Theft,Laptop,No
Washington University School of Medicine,MO,Healthcare Provider,1105,Theft,Laptop,No
"California Department of Developmental Services, Privacy Manager Breach",CA,,,,,No
Riderwood Village,MD,Healthcare Provider,3230,Theft,Laptop,No
WAYNE MEMORIAL HOSPITAL,PA,Healthcare Provider,1184,Loss,Other,No
Baptist Health System,TX,Healthcare Provider,678,Unauthorized Access/Disclosure,Electronic Medical Record,No
BlueCross BlueShield of Western New York,NY,Business Associate,725,Theft,Paper/Films,Yes
"Stanford School of Medicine & LP Children Hosp, Privacy Manager Breach",CA,Healthcare Provider,,Theft,Laptop,No
The University of Texas MD Anderson Cancer Center,TX,Healthcare Provider,29021,Theft,Laptop,No
"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",WI,Healthcare Provider,2400,Theft,Paper/Films,No
RR Donnelley (a sub-BA for UnitedHealth Group),IL,Business Associate,8911,Theft,Desktop Computer,Yes
Kmart Pharmacy #7623,LA,Business Associate,16988,Improper Disposal,Paper/Films,Yes
Community Services NW,AL,Healthcare Provider,2400,Theft,Desktop Computer,No
LifeGas,GA,Business Associate,1103,Theft,Laptop,Yes
Yadkinville Chiropractic DCPA,NC,Business Associate,1000,Theft,Desktop Computer,Yes
"Intervention Services, Inc.",FL,Healthcare Provider,1200,Theft,Laptop,No
West Georgia Ambulance,GA,Healthcare Provider,500,Loss,Laptop,No
"Center for Pain Management, LLC",MD,Healthcare Provider,5822,Theft,Laptop,No
"Coast Healthcare Management, LLC",CA,Business Associate,1368,"Other, Theft",Paper/Films,Yes
Froedtert Health,WI,Healthcare Provider,43549,Unauthorized Access/Disclosure,Other,No
Jackson Health System,FL,Healthcare Provider,566,Other,Paper/Films,No
Kindred Transitional Care and Rehabilitation - Marl,MA,Healthcare Provider,716,Theft,Other Portable Electronic Device,No
"HomeCare of Mid-Missouri, Inc.",MO,Healthcare Provider,4027,Theft,Laptop,No
Heyman HospiceCare at Floyd,GA,Healthcare Provider,1819,Theft,Laptop,No
ABQ HealthPartners,NM,Healthcare Provider,778,Theft,Laptop,No
Terrell County Health Department,GA,Healthcare Provider,18000,Unauthorized Access/Disclosure,Network Server,No
Florida Healthy Kids Corporation,FL,,3667,Unauthorized Access/Disclosure,Paper/Films,Yes
"Catoctin Dental/Richard B. Love, D.D.S., P.A.",MD,,,,,No
"Stronghold Counseling Services, Inc.",SD,Healthcare Provider,8500,Theft,Desktop Computer,No
Arizona Oncology,AZ,Healthcare Provider,501,Theft,Laptop,No
Crescent Health Inc. - a Walgreens Company,CA,Healthcare Provider,109000,Theft,Desktop Computer,No
"County of San Bernardino, Department of Behavioral Health",CA,Health Plan,686,Theft,Paper/Films,No
"WOMENS HEALTH ENTERPRISE, INC.",GA,Healthcare Provider,3000,Theft,Laptop,No
Standard Register,OH,Business Associate,2261,Theft,Paper/Films,Yes
Health Plus Amerigroup,NY,Business Associate,28187,Theft,Other Portable Electronic Device,Yes
Plexus Group,IL,Business Associate,500,Unauthorized Access/Disclosure,Other,Yes
South Miami Hospital,FL,Healthcare Provider,834,Unauthorized Access/Disclosure,Electronic Medical Record,No
Lancaster General Medical Group,PA,Healthcare Provider,527,Theft,Paper/Films,No
Maine Medical Center,ME,Healthcare Provider,1920,Other,Email,No
North Los Angeles County Regional Center ,CA,Business Associate,18162,Theft,Laptop,Yes
Goold Health System (Goold),MA,Business Associate,6332,Loss,Other Portable Electronic Device,Yes
Sports Rehabilitation Consultants,OH,Healthcare Provider,1200,Theft,Desktop Computer,No
University of Connecticut Health Center,CT,Healthcare Provider,1382,Unauthorized Access/Disclosure,Network Server,No
"United HomeCare Services, Inc.",FL,Healthcare Provider,12299,Theft,Laptop,No
Patterson Dental Supply/Patterson Companies,MN,Business Associate,6400,Hacking/IT Incident,Network Server,Yes
Connextions c/o Anthem BCBS,IN,Business Associate,1678,"Theft, Unauthorized Access/Disclosure",Network Server,Yes
Mount Sinai Medical Center,FL,Healthcare Provider,628,Theft,"Desktop Computer, Paper/Films",No
"Thomas L. Davis, Jr. DDS",OR,Healthcare Provider,3269,Theft,"Desktop Computer, Electronic Medical Record",No
M&C Children's Clinic PA,TX,,,,,No
"HealthCare for Women, Inc.",MA,Healthcare Provider,8727,Hacking/IT Incident,Network Server,No
University of Mississippi Medical Center,MS,Healthcare Provider,500,Loss,Laptop,No
Granger Medical Clinic,UT,Healthcare Provider,2600,"Loss, Other, Theft",Paper/Films,No
Texas Tech Unversity Health Sciences Center,TX,Healthcare Provider,697,Unauthorized Access/Disclosure,Paper/Films,No
Oregon Health & Science University,OR,Healthcare Provider,,Theft,Laptop,No
Rite Aid #10217,RI,Healthcare Provider,2082,"Other, Unknown",Paper/Films,No
"Sunil Kakar, Psy.D.",WA,Business Associate,629,Theft,Laptop,Yes
"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",CA,Business Associate,2400,Unauthorized Access/Disclosure,Paper/Films,Yes
"Shands Jacksonville Medical Center, Inc.",FL,Healthcare Provider,1025,Theft,Electronic Medical Record,No
University of Florida,FL,Healthcare Provider,14519,"Other, Theft, Unauthorized Access/Disclosure",Network Server,No
Kmart Corporation,IL,Healthcare Provider,12542,Theft,Electronic Medical Record,No
PORTAL HEALTHCARE SOLUTIONS LLC,VA,Business Associate,2360,Theft,Network Server,Yes
Hospice and Palliative Care Center of Alamance Caswell,NC,Healthcare Provider,5370,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films",No
"Texas Health Care, P.L.L.C.",TX,Healthcare Provider,554,Theft,Paper/Films,No
TMG Health ,PA,Business Associate,3794,Unauthorized Access/Disclosure,Paper/Films,Yes
Wm. Jennings Bryan Dorn VAMC,SC,Healthcare Provider,7405,Theft,Laptop,No
John J. Pershing VA Medical Center,MO,Healthcare Provider,589,Theft,Paper/Films,No
Oregon Health & Science University,OR,Healthcare Provider,1076,Theft,Laptop,No
Schneck Medical Center,IN,Healthcare Provider,3131,Unauthorized Access/Disclosure,Other,No
The Guidance Center of Westchester,NY,Healthcare Provider,1416,Theft,Desktop Computer,No
Hope Hospice,TX,Healthcare Provider,818,Other,Email,No
"IHC Health Services, Inc. dba Intermountain Life Flight",UT,Healthcare Provider,857,Unauthorized Access/Disclosure,Other,No
Valley Mental Health,UT,Healthcare Provider,700,Theft,Desktop Computer,No
ZDI,CA,Business Associate,14829,Loss,Paper/Films,Yes
Raleigh Orthopaedic Clinic,NC,Healthcare Provider,17300,"Improper Disposal, Theft, Unauthorized Access/Disclosure",Paper/Films,No
Laboratory Corporation of America,NC,Healthcare Provider,1580,Theft,Desktop Computer,No
"Arizona Counseling & Treatment Services, LLC",AZ,Healthcare Provider,3800,Theft,Other Portable Electronic Device,No
Wood County Hospital,OH,Healthcare Provider,2500,Theft,Other,No
University of Rochester Medical Center & Affiliates,NY,Healthcare Provider,537,Loss,Other Portable Electronic Device,No
AssuranceMD f/k/a Harbor Group,PA,Business Associate,22000,Theft,Other Portable Electronic Device,Yes
Digital Archive Management,TX,Business Associate,189489,Improper Disposal,Paper/Films,Yes
Seattle - King County Department of Public Health,WA,Healthcare Provider,750,Improper Disposal,Paper/Films,No
Regional Medical Center,TN,Healthcare Provider,1180,Unauthorized Access/Disclosure,Email,No
"E-dreamz, Inc.",NC,Business Associate,9988,Hacking/IT Incident,Network Server,Yes
"North Atlantic Telecom, Inc.",TN,Business Associate,539,Other,Desktop Computer,Yes
"E-dreamz, Inc.",NC,Business Associate,1924,Hacking/IT Incident,Network Server,Yes
Indiana University Health Arnett,IN,Healthcare Provider,10350,Theft,Laptop,No
Dent Neurologic Institute,NY,Healthcare Provider,10000,Unauthorized Access/Disclosure,Email,No
City of Norwood,OH,Healthcare Provider,9577,Loss,Laptop,No
Lutheran Social Services of South Central Pennsylvania,PA,Healthcare Provider,7803,Hacking/IT Incident,Network Server,No
Just the Connection Inc,IN,Business Associate,5388,Improper Disposal,Other,Yes
Erskine Family Dentistry,IN,Healthcare Provider,2723,Hacking/IT Incident,Desktop Computer,No
Health Resources of Arkansas,AR,Healthcare Provider,1900,"Theft, Unauthorized Access/Disclosure",Other,No
SynerMed / Inland Valleys IPA,CA,Business Associate,3164,Theft,Laptop,Yes
Independence Care System,NY,Healthcare Provider,2434,Theft,Laptop,No
Sonoma Valley Hospital,CA,Healthcare Provider,1386,Other,Other,No
Bon Secours Mary Immaculate Hospital,VA,Healthcare Provider,5764,Theft,Electronic Medical Record,No
University of Florida,FL,Healthcare Provider,5875,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
"Community Support Services, Inc.",OH,Healthcare Provider,1167,Theft,Email,No
UMASSAmherst,MA,Healthcare Provider,1670,Hacking/IT Incident,Desktop Computer,No
Palm Beach County Health Department,FL,Healthcare Provider,877,Unauthorized Access/Disclosure,Desktop Computer,No
"Lucile Packard Childrens Hospital, Privacy Manager Breach",CA,Healthcare Provider,12900,Theft,Laptop,No
Fayetteville VAMC,NC,Healthcare Provider,1093,Theft,Paper/Films,No
Lincoln County Health and Human Services/Lincoln Community Health Center,OR,Healthcare Provider,959,Unauthorized Access/Disclosure,Paper/Films,No
Union Security Insurance Company,MO,Health Plan,1127,Improper Disposal,Email,No
"Gulf Breeze Family Eyecare, Inc",FL,Healthcare Provider,9626,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films",No
Jacksonville Spine Center,FL,Healthcare Provider,5200,Theft,Paper/Films,No
Iowa Department of Human Services,IA,Healthcare Provider,7335,"Loss, Unknown",Other,No
James A. Fosnaugh,NE,Healthcare Provider,2125,Loss,Other Portable Electronic Device,No
Lone Star Circle of Care,TX,Healthcare Provider,1955,Theft,Laptop,No
Alberto Gerardo Vazquez Rivera,PR,Business Associate,679,Theft,Laptop,Yes
RCR Technology Corporation,IN,Business Associate,187533,Other,Paper/Films,Yes
CVS Caremark,AZ,Business Associate,4305,Theft,Paper/Films,Yes
"Health Net, Inc.",CA,Health Plan,8331,Other,Paper/Films,No
"South Florida Neurology Associates, P.A.",FL,Healthcare Provider,900,Theft,Laptop,No
Samaritan Regional Health System,OH,Healthcare Provider,2203,Theft,Paper/Films,No
MED-EL Coproration,NC,Healthcare Provider,609,Other,Email,No
Sutter Health East Bay Region,CA,,4479,Unauthorized Access/Disclosure,Email,Yes
Family Health Network,IL,Business Associate,3133,Other,Paper/Films,Yes
ZDI,CA,Business Associate,4718,Loss,Paper/Films,Yes
Children's Medical Center of Dallas,TX,Healthcare Provider,2462,Theft,Laptop,No
"Medtronic, Inc.",MN,Healthcare Provider,2764,Theft,Paper/Films,No
Shred-it International Inc.,TX,Business Associate,277014,Improper Disposal,Other,Yes
Long Beach Memorial Medical Center,CA,Healthcare Provider,2864,Unauthorized Access/Disclosure,Electronic Medical Record,No
Illinois Department of Healthcare and Family Services,IL,,,,,No
"Hansen and Associates, Inc.",WY,,2700,Unauthorized Access/Disclosure,Desktop Computer,Yes
Sheet Metal Local 36 Welfare Fund,MO,,4560,Unauthorized Access/Disclosure,Other,Yes
Harris County,TX,Health Plan,21000,Unauthorized Access/Disclosure,Desktop Computer,No
Jesle Kuizon,CA,Business Associate,800,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",Yes
Rite Aid #2255,WV,,,,,No
"GEO Care, LLC",FL,Healthcare Provider,710,Theft,Desktop Computer,No
The Brookdale Hospital and Medical Center,NY,Healthcare Provider,2700,Loss,Other Portable Electronic Device,No
Louisiana State University Health Care Services Division,LA,Healthcare Provider,6994,Unauthorized Access/Disclosure,Desktop Computer,No
Louisiana State University Health Care Services Division,LA,,,,,No
Oregon Health & Science University,OR,Healthcare Provider,1361,Unauthorized Access/Disclosure,Other,No
"California Correctional Health Care Services, Privacy Manager Breach",CA,,,,,No
Rocky Mountain Spine Clinic,CO,Healthcare Provider,532,Unauthorized Access/Disclosure,Email,No
"Vitreo-Retinal Medical Group, Inc. ",CA,Healthcare Provider,1837,Theft,Laptop,No
Missouri Department of Social Services,MO,,1357,Unauthorized Access/Disclosure,Paper/Films,Yes
Health Resources of Arkansas,AR,Business Associate,1911,Theft,Laptop,Yes
Baylor All Saints Medical Center at Fort Worth,TX,Healthcare Provider,940,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
M2ComSys Inc.,NV,Business Associate,32151,Unauthorized Access/Disclosure,Network Server,Yes
Young Family Medicine Inc.,OH,Healthcare Provider,2045,Theft,Laptop,No
Hancock OB/GYN,IN,Healthcare Provider,1396,Unauthorized Access/Disclosure,Electronic Medical Record,No
Anthem BCBS of GA,IN,Business Associate,5497,Theft,Other,Yes
"InfoCrossing, Inc.",MO,Business Associate,1357,Unauthorized Access/Disclosure,Paper/Films,Yes
Foundations Recovery Network,TN,Healthcare Provider,5690,Unauthorized Access/Disclosure,Laptop,No
California Correctional Health Care Services,CA,Healthcare Provider,1033,Other,Paper/Films,No
North Texas Comprehensive Spine & Pain Center,TX,Healthcare Provider,3200,"Loss, Theft",Other Portable Electronic Device,No
Elbowoods Memorial Health Center,ND,Health Plan,10000,Improper Disposal,"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films",No
Jackson Health System,FL,Healthcare Provider,1471,Theft,"Other, Paper/Films",No
"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,Healthcare Provider,4029530,Theft,Desktop Computer,No
"Summit Community Care Clinic, Inc.",CO,Healthcare Provider,921,Hacking/IT Incident,Desktop Computer,No
UT Physicians,TX,Healthcare Provider,596,Theft,Laptop,No
"Cogent Healthcare, Inc.",TN,Business Associate,32000,Theft,Network Server,Yes
Atlanta Center for Reproductive Medicine,GA,Healthcare Provider,654,Unauthorized Access/Disclosure,Email,No
St. Anthony's Physician Organization,MO,Healthcare Provider,2600,Theft,"Laptop, Other Portable Electronic Device",No
Valperaiso Fire Department,IN,Health Plan,,Theft,Desktop Computer,No
Janna Benkelman LPC LLC,CO,Healthcare Provider,1500,Theft,Laptop,No
Olson & White Orthodontics,MO,Healthcare Provider,10000,Theft,"Desktop Computer, Network Server",No
Kaiser Foundation Health Plan of the Northwest,OR,Health Plan,647,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Hankyu Chung, M.D.",CA,Healthcare Provider,2182,Theft,Laptop,No
"ICS Collection Service, Inc.",IL,Business Associate,1290,Hacking/IT Incident,Other,Yes
PHMHS,PR,Business Associate,5000,Theft,Network Server,Yes
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,Theft,Other Portable Electronic Device,No
"NHC HealthCare, Oak Ridge",TN,Healthcare Provider,4268,Loss,Other,No
"NHC HealthCare, Mauldin",SC,Healthcare Clearing House,4204,Improper Disposal,Other,No
Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group,IL,,2029,Hacking/IT Incident,Network Server,Yes
Dreyer Medical Clinic,IL,,998,Hacking/IT Incident,Network Server,Yes
"South Shore Physicians, PC",NY,Healthcare Provider,8000,Theft,Network Server,No
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,Unknown,Other,No
Sierra View District Hospital,CA,Healthcare Provider,1009,Unauthorized Access/Disclosure,Electronic Medical Record,No
"InfoCrossing, Inc.",MO,Business Associate,25461,Unauthorized Access/Disclosure,Paper/Films,Yes
"Holy Cross Hospital, Inc.",FL,Healthcare Provider,9900,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",No
Region Ten Community Services Board,VA,Healthcare Provider,10228,Theft,Email,No
Comprehensive Podiatry LLC,OH,Healthcare Provider,1360,Theft,Laptop,No
Santa Clara Valley Medical Center,CA,Healthcare Provider,579,Theft,Laptop,No
"Sarah Benjamin, DPM - Littleton Podiatry",CO,,3512,Theft,Laptop,Yes
Carol L Patrick Ph. D.,OH,Healthcare Provider,517,Theft,"Desktop Computer, Network Server",No
HOPE Family Health,TN,Healthcare Provider,6932,Theft,Laptop,No
"Paul G. Klein, DPM",NJ,Healthcare Provider,2500,Theft,Laptop,No
UnityPoint Health Affiliated,IA,Healthcare Provider,1825,Unauthorized Access/Disclosure,Electronic Medical Record,No
TSYS Employee Health Plan,GA,,5232,Theft,Email,Yes
"University of California, San Francisco",CA,Healthcare Provider,3553,Theft,"Laptop, Paper/Films",No
"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,Healthcare Provider,2350,Theft,Paper/Films,No
Group Health Cooperative,WA,Healthcare Provider,1015,Other,Paper/Films,No
Schuylkill Health System,PA,Healthcare Provider,2810,Theft,Laptop,No
CaroMont Medical Group,NC,Healthcare Provider,1310,Hacking/IT Incident,Email,No
Mount SInai Medical Center,NY,Healthcare Provider,1586,Improper Disposal,Paper/Films,No
Healthcare Management System ,TN,Business Associate,4330,Unauthorized Access/Disclosure,Paper/Films,Yes
Saint Louis University,MO,Healthcare Provider,3100,Unauthorized Access/Disclosure,Email,No
BlackHawk,IL,Business Associate,7120,Hacking/IT Incident,Network Server,Yes
Ferris State University - MI College of Optometry,MI,Healthcare Provider,3947,Hacking/IT Incident,Network Server,No
"Access Counseling, LLC",IN,Healthcare Provider,566,Theft,Laptop,No
Rose Medical Center,CO,Healthcare Provider,606,Improper Disposal,Paper/Films,No
BriovaRx,IL,Healthcare Provider,1067,Unauthorized Access/Disclosure,Email,No
"North Country Hospital and Health Center, Inc",VT,Healthcare Provider,550,Theft,Laptop,No
"Hope Community Resources, Inc.",AK,Healthcare Provider,1556,Unauthorized Access/Disclosure,Email,No
Broward Health Medical Center,FL,Healthcare Provider,960,Unauthorized Access/Disclosure,Desktop Computer,No
Mount Sinai Medical Center,NY,Healthcare Provider,610,Loss,Other Portable Electronic Device,No
Texas Health Presbyterian Dallas Hospital,TX,Healthcare Provider,949,Theft,Desktop Computer,No
Ferris State University MI College of Optometry,MI,Healthcare Provider,3947,Hacking/IT Incident,Network Server,No
"none, Seton Healthcare Family",TX,Healthcare Provider,5500,Theft,Laptop,No
Bronx Lebanon Hospital Center,NY,,10930,Unauthorized Access/Disclosure,Network Server,Yes
"Martin Luther King Jr. Health Center, Inc.",NY,,37000,Unauthorized Access/Disclosure,Network Server,Yes
Good Samaritan Hospital,CA,Healthcare Provider,3833,Theft,Laptop,No
SSM Health Care of Wisconsin DBA: St. Mary���s Janesville Hospital,WI,Healthcare Provider,631,Theft,Laptop,No
AHMC Healthcare Inc. and affiliated Hospitals,CA,Healthcare Provider,729000,Theft,Laptop,No
"Greater Dallas Orthopaedics, PLLC",TX,Healthcare Provider,5840,Theft,Desktop Computer,No
"Spirit Home Health Care, Corp",FL,Business Associate,603,Improper Disposal,Paper/Films,Yes
Rotech Healthcare Inc.,FL,Healthcare Provider,10680,Unauthorized Access/Disclosure,Laptop,No
"Reimbursement Technologies, Inc.",PA,Healthcare Clearing House,2300,Unauthorized Access/Disclosure,Network Server,No
Advocate Health and Hospitals Corporation,IL,Healthcare Provider,2237,Theft,Laptop,No
Comprehensive Psychological Services LLC,SC,Healthcare Provider,3500,Theft,Laptop,No
"Superior HealthPlan, Inc.",TX,Health Plan,6284,Other,Paper/Films,No
Genesis Rehabilitation Services,PA,Healthcare Provider,1167,Loss,Other Portable Electronic Device,No
"Colorado Health & Wellness, Inc.",CO,Healthcare Provider,651,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,No
Allina Health,MN,Healthcare Provider,3807,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Barnabas Health Medical Group, P.C.",NJ,Healthcare Provider,1100,Theft,Laptop,No
DaVita,CA,Healthcare Provider,11500,Theft,Laptop,No
Blue Cross and Blue Shield of North Carolina,NC,Health Plan,687,Unauthorized Access/Disclosure,Paper/Films,No
North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,Healthcare Provider,1315,Unauthorized Access/Disclosure,Other,No
Triple S Salud Inc.,PR,Business Associate,13336,Unauthorized Access/Disclosure,Paper/Films,Yes
Associated Urologists of North Carolina,NC,Healthcare Provider,7300,Unauthorized Access/Disclosure,Other,No
Kemmet Dental Design,ND,Healthcare Provider,2000,Theft,Paper/Films,No
Hospice of the Chesapeake,MD,Healthcare Provider,7606,Theft,Email,No
All Source Medical Management,AZ,Business Associate,1456,Theft,Other,Yes
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,2279,Loss,Other Portable Electronic Device,No
Health Fitness Corporation,IL,Business Associate,3804,Theft,Laptop,Yes
Health Fitness Corporation,IL,Business Associate,4837,Theft,Laptop,Yes
UHS-Pruitt Corporation,GA,Healthcare Provider,1300,Theft,Laptop,No
"United Dynacare, LLC dba Dynacare Laboratories",WI,Healthcare Provider,9328,Theft,Other Portable Electronic Device,No
Redwood Memorial Hospital,CA,Healthcare Provider,1039,Loss,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,8294,Theft,"Laptop, Paper/Films",No
New Jersey Department of Human Services,NJ,Health Plan,9825,Loss,Other Portable Electronic Device,No
Kaiser Foundation Hospital- Orange County,CA,Healthcare Provider,49000,Loss,Other Portable Electronic Device,No
"Molina Healthcare of Texas, Inc.",TX,Health Plan,,Unauthorized Access/Disclosure,Other,No
Jones Chiropractic and Maximum Health,IN,Healthcare Provider,1500,Theft,Desktop Computer,No
Ronald Schubert MD PLLC,WA,Healthcare Provider,950,Theft,Laptop,No
UPMC,PA,Healthcare Provider,1279,Unauthorized Access/Disclosure,Electronic Medical Record,No
"UW Medicine, Privacy Manager - Breach",WA,Healthcare Provider,76183,Hacking/IT Incident,Desktop Computer,No
City of Chicago,IL,Healthcare Provider,2080,Unauthorized Access/Disclosure,Network Server,No
"American Anesthesiology, Inc.",FL,Healthcare Provider,1000,Unauthorized Access/Disclosure,Paper/Films,No
Medical Mutual of Ohio,OH,Health Plan,643,Unauthorized Access/Disclosure,Paper/Films,No
"Quality Health Claims Consultants, LLC",IL,Business Associate,1573,Theft,Email,Yes
SIU HealthCare,IL,Healthcare Provider,1891,"Loss, Theft",Laptop,No
The Good Samaritan Health Center,GA,Healthcare Provider,5000,Hacking/IT Incident,Desktop Computer,No
PruittHealth Corporation,GA,Healthcare Provider,4500,Theft,Laptop,No
Walgreen Co.,IL,Healthcare Provider,17350,Other,Paper/Films,No
Methodist Dallas Medical Center,TX,Healthcare Provider,44000,Unauthorized Access/Disclosure,Other,No
Florida Digestive Health Specialists,FL,Healthcare Provider,4400,Unauthorized Access/Disclosure,Desktop Computer,No
"Northside Hospital, Inc.",GA,Healthcare Provider,4879,Loss,Laptop,No
"Health Help, Inc.",KY,Healthcare Provider,535,Theft,Other Portable Electronic Device,No
L.A. Gay & Lesbian Center,CA,Healthcare Provider,59000,Hacking/IT Incident,Network Server,No
Mosaic,NE,Healthcare Provider,3857,Unauthorized Access/Disclosure,Email,No
Molina Healthcare In,CA,Business Associate,1499,Unauthorized Access/Disclosure,Network Server,Yes
Wyoming Department of Health,WY,Health Plan,11935,Unauthorized Access/Disclosure,Network Server,No
Shiloh Medical Clinic,MT,Healthcare Provider,1900,Unauthorized Access/Disclosure,"Desktop Computer, Email",No
Walla Walla VA Medical Center,WA,,,,,No
DeLoach & Williamson,SC,Business Associate,3432,Theft,Laptop,Yes
Wyoming Department of Health,WY,Health Plan,11935,Hacking/IT Incident,Network Server,No
Colby DeHart,TN,Business Associate,2777,Theft,Laptop,Yes
ZDI,CA,Business Associate,1674,Loss,Paper/Films,Yes
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,Other,Paper/Films,No
"Rob Meaglia, DDS",CA,Healthcare Provider,1400,Theft,Desktop Computer,No
Jeff Spiegel,MA,Healthcare Provider,832,Unauthorized Access/Disclosure,Email,No
Tranquility Counseling Services,NC,Healthcare Provider,1683,Other,Paper/Films,No
Florida Department of Health,FL,Healthcare Provider,2354,Unauthorized Access/Disclosure,Desktop Computer,No
Barry University,FL,Healthcare Provider,9017,Hacking/IT Incident,"Laptop, Network Server",No
"New Mexico Oncology Hematology Consultants, LTD",NM,Healthcare Provider,12354,Theft,Laptop,No
Houston Methodist Hospital,TX,,,,,No
Colorado Community Health Alliance (CCHA)/Physicians Health Partners,CO,Business Associate,1918,Unauthorized Access/Disclosure,Email,Yes
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,Business Associate,839711,Theft,Laptop,Yes
Phoebe Putney Memorial Hospital,GA,Healthcare Provider,6989,Loss,Desktop Computer,No
Coulee Medical Center,WA,Healthcare Provider,2500,Theft,"Email, Laptop, Network Server",No
"RevSpring, Inc.",MI,Business Associate,3000,Other,Paper/Films,Yes
North Carolina Department of Health and Human Services ,NC,Health Plan,48752,Unauthorized Access/Disclosure,Other,No
North Carolina Department of Health and Human Services,NC,,,,,No
Phoebe Putney Memorial Hospital,GA,,,,,No
"101 Family Medical Group, Privacy Manager Breach",CA,,2500,Theft,Laptop,Yes
Tri Lakes Medical Center,MS,Healthcare Provider,1489,Hacking/IT Incident,Network Server,No
Virginia Premier Health Plan (VPHP),VA,Business Associate,25513,Theft,Paper/Films,Yes
