Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information
Anthem Blue Cross Blue Shield (IN),IN,Connextions c/o Anthem BCBS,528,"Theft, Unauthorized Access/Disclosure",Network Server
Mount Sinai Medical Center,FL,,628,Theft,"Desktop Computer, Paper"
"Thomas L. Davis, Jr. DDS",OR,,3269,Theft,"Desktop Computer, Electronic Medical Record"
"HealthCare for Women, Inc.",MA,,8727,Hacking/IT Incident,Network Server
University of Mississippi Medical Center,MS,,500,Loss,Laptop
Granger Medical Clinic,UT,,2600,"Theft, Loss, Other",Paper
Texas Tech Unversity Health Sciences Center,TX,,697,Unauthorized Access/Disclosure,Paper
Rite Aid #10217,RI,,2082,"Unknown, Other",Paper
WA Department of Social and Health Services,WA,"Sunil Kakar, Psy.D.",629,Theft,Laptop
Carpenters Health & Welfare Trust Fund for California,CA,"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",2400,Unauthorized Access/Disclosure,Paper
"Shands Jacksonville Medical Center, Inc.",FL,,1025,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
University of Florida,FL,,14519,"Theft, Unauthorized Access/Disclosure, Other",Network Server
Kmart Corporation,IL,,12542,Theft,Electronic Medical Record
GLENS FALLS HOSPITAL,NY,PORTAL HEALTHCARE SOLUTIONS LLC,2360,Theft,Network Server
Hospice and Palliative Care Center of Alamance Caswell,NC,,5370,"Theft, Unauthorized Access/Disclosure","Laptop, Paper"
"Texas Health Care, P.L.L.C.",TX,,554,Theft,Paper
Network Health Insurance Corporation,WI,TMG Health ,3794,Unauthorized Access/Disclosure,Paper
Wm. Jennings Bryan Dorn VAMC,SC,,7405,Loss,Laptop
John J. Pershing VA Medical Center,MO,,589,Theft,Paper
Oregon Health & Science University,OR,,1076,Theft,Laptop
Schneck Medical Center,IN,,3131,Unauthorized Access/Disclosure,Other
The Guidance Center of Westchester,NY,,1416,Theft,Desktop Computer
Hope Hospice,TX,,818,Other,E-mail
"IHC Health Services, Inc. dba Intermountain Life Flight",UT,,857,Unauthorized Access/Disclosure,Other
Valley Mental Health,UT,,700,Theft,Desktop Computer
Delta Dental of Pennsylvania,PA,ZDI,14829,Loss,Paper
Raleigh Orthopaedic Clinic,NC,,17300,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper
Laboratory Corporation of America,NC,,1580,Theft,Desktop Computer
"Arizona Counseling & Treatment Services, LLC",AZ,,3800,Theft,Other Portable Electronic Device
Wood County Hospital,OH,,2500,Theft,Other
University of Rochester Medical Center & Affiliates,NY,,537,Loss,Other Portable Electronic Device
Orthopedics & Adult Reconstructive Surgery,TX,AssuranceMD f/k/a Harbor Group,22000,Loss,Other Portable Electronic Device
El Centro Regional Medical Center,CA,Digital Archive Management,189489,Improper Disposal,Paper
Seattle - King County Department of Public Health,WA,,750,Improper Disposal,Paper
Regional Medical Center,TN,,1180,Unauthorized Access/Disclosure,E-mail
Presbyterian Anesthesia Associates PA,NC,"E-dreamz, Inc.",9988,Hacking/IT Incident,Network Server
"Integrity Oncology, an office of Baptist Medical Group",TN,"North Atlantic Telecom, Inc.",539,Other,Desktop Computer
"Piedmont HealthCare, P.A.",NC,"E-dreamz, Inc.",1924,Hacking/IT Incident,Network Server
Indiana University Health Arnett,IN,,10350,Theft,Laptop
"Dent Neurologic Group, LLP",NY,,10000,Other,E-mail
City of Norwood,OH,,9577,Loss,Laptop
Lutheran Social Services of South Central Pennsylvania,PA,,7803,Hacking/IT Incident,Network Server
Comfort Dental Marion and Kokomo,IN,Just the Connection Inc,5388,Improper Disposal,Other
Erskine Family Dentistry,IN,,2723,Hacking/IT Incident,Desktop Computer
Health Resources of Arkansas,AR,,1900,"Theft, Unauthorized Access/Disclosure",Other
Various Health Plans,AL,SynerMed / Inland Valleys IPA,3164,Theft,Laptop
Independence Care System,NY,,2434,Theft,Laptop
Sonoma Valley Hospital,CA,,1386,Other,Other
University of Florida,FL,,5875,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
"Community Support Services, Inc.",OH,,1167,Theft,E-mail
UMASSAmherst,MA,,1670,Hacking/IT Incident,Desktop Computer
Palm Beach County Health Department,FL,,877,Unauthorized Access/Disclosure,Desktop Computer
Lucile Packard Children's Hospital,CA,,12900,Theft,Laptop
Fayetteville VAMC,NC,,1093,Improper Disposal,Paper
Lincoln County Health and Human Services/Lincoln Community Health Center,OR,,959,Unauthorized Access/Disclosure,Paper
Union Security Insurance Company,MO,,1127,Improper Disposal,E-mail
"Gulf Breeze Family Eyecare, Inc",FL,,9626,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper"
Jacksonville Spine Center,FL,,5200,Unauthorized Access/Disclosure,Paper
Iowa Department of Human Services,IA,,7335,"Loss, Unknown",Other
James A. Fosnaugh,NE,,2125,Loss,Other Portable Electronic Device
Lone Star Circle of Care,TX,,1955,Theft,Laptop
Aflac,GA,Alberto Gerardo Vazquez Rivera,679,Theft,Laptop
Indiana Family & Social Services Administration,IN,RCR Technology Corporation,187533,Other,Paper
Northrop Grumman Retiree Health Plan,VA,CVS Caremark,4305,Theft,Paper
"Health Net, Inc.",CA,,8331,Other,Paper
"South Florida Neurology Associates, P.A.",FL,,900,Theft,Laptop
Samaritan Regional Health System,OH,,2203,Other,Paper
MED-EL Coproration,NC,,609,Other,E-mail
Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center),CA,Nelson Family of Companies,4479,Unauthorized Access/Disclosure,E-mail
Illinois Department of Healthcare and Familiy Services,IL,Family Health Network,3133,Other,Paper
Delta Dental of Pennsylvania,PA,ZDI,4718,Loss,Paper
"Medtronic, Inc.",MN,,2764,Loss,Paper
Texas Health Harris Methodist Hospital Fort Worth,TX,Shred-it International Inc.,277014,Improper Disposal,Other
Long Beach Memorial Medical Center,CA,,2864,Unauthorized Access/Disclosure,Electronic Medical Record
Hansen & Associates,WY,,2700,Theft,Desktop Computer
Sheet Metal Local 36 Welfare Fund,MO,People Resource Corporation,4560,Unauthorized Access/Disclosure,Other
Harris County,TX,,21000,Unauthorized Access/Disclosure,Desktop Computer
"San Jose Medical Supply Co., Inc.",CA,Jesle Kuizon,800,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Desktop Computer, Network Server"
"GEO Care, LLC",FL,,710,Unauthorized Access/Disclosure,Desktop Computer
The Brookdale Hospital and Medical Center,NY,,2700,Loss,Other Portable Electronic Device
Louisiana State University Health Care Services Division,LA,,6994,Unauthorized Access/Disclosure,Desktop Computer
Oregon Health & Science University,OR,,1361,Unauthorized Access/Disclosure,Other
"Rocky Mountain Spine Clinic, P.C.",CO,,532,"Theft, Unauthorized Access/Disclosure",Network Server
"Vitreo-Retinal Medical Group, Inc. ",CA,,1837,Theft,Laptop
Arkansas Department of Human Services,AR,Health Resources of Arkansas,1911,Theft,Laptop
Baylor All Saints Medical Center at Fort Worth,TX,,940,Unauthorized Access/Disclosure,Other Portable Electronic Device
"Cogent Healthcare, Inc.",TN,M2ComSys Inc.,32151,Unauthorized Access/Disclosure,Network Server
Young Family Medicine Inc.,OH,,2045,Theft,Laptop
Hancock OB/GYN,IN,,1396,Unauthorized Access/Disclosure,Electronic Medical Record
Colfax,IN,Anthem BCBS of GA,5497,Other,Other
Missouri Department of Social Services,MO,"InfoCrossing, Inc.",1357,Unauthorized Access/Disclosure,Paper
Foundations Recovery Network,TN,,5690,Theft,Laptop
California Correctional Health Care Services,CA,,1033,Other,Paper
North Texas Comprehensive Spine & Pain Center,TX,,3200,"Theft, Loss",Other Portable Electronic Device
Minne-Tohe Health Center/Elbowoods Memorial Health Center,ND,,10000,"Improper Disposal, Unauthorized Access/Disclosure","Desktop Computer, Other"
Jackson Health System,FL,,1471,Other,Paper
"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,,4029530,Theft,Desktop Computer
"Summit Community Care Clinic, Inc.",CO,,921,Hacking/IT Incident,Desktop Computer
UT Physicians,TX,,596,"Theft, Loss",Laptop
Parkview Community Hospital Medical Center,CA,"Cogent Healthcare, Inc.",32000,Other,Network Server
Atlanta Center for Reproductive Medicine,GA,,654,Other,E-mail
St. Anthony's Physician Organization,MO,,2600,Theft,"Laptop, Other Portable Electronic Device"
Janna Benkelman LPC LLC,CO,,1500,Theft,Laptop
Olson & White Orthodontics,MO,,10000,Theft,"Desktop Computer, Network Server"
Kaiser Foundation Health Plan of the Northwest,OR,,647,Unauthorized Access/Disclosure,Electronic Medical Record
"Hankyu Chung, M.D.",CA,,2182,Theft,Laptop
"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",IL,"ICS Collection Service, Inc.",1290,Hacking/IT Incident,Other
ACO of Puerto Rico,PR,PHMHS,5000,Theft,Network Server
"NHC HealthCare, Oak Ridge",TN,,4268,Loss,Other
"NHC HealthCare, Mauldin",SC,,4204,Improper Disposal,Other
Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,IL,Blackhawk Consulting Group,2029,Hacking/IT Incident,Network Server
Dreyer Medical Clinic,IL,Blackhawk Consulting Group,998,Hacking/IT Incident,Network Server
"South Shore Physicians, PC",NY,,8000,Theft,Network Server
Dermatology Associates of Tallahassee,FL,,916,Unknown,Other
Sierra View District Hospital,CA,,1009,Unauthorized Access/Disclosure,Electronic Medical Record
Missouri Department of Social Services,MO,"InfoCrossing, Inc.",25461,Unauthorized Access/Disclosure,Paper
"Holy Cross Hospital, Inc.",FL,,9900,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server"
Region Ten Community Services Board,VA,,10228,Hacking/IT Incident,E-mail
Comprehensive Podiatry LLC,OH,,1360,Theft,Laptop
Santa Clara Valley Medical Center,CA,,579,Theft,Laptop
"Sarah Benjamin, DPM - Littleton Podiatry ",CO,Not Applicable ,3512,Theft,Laptop
"Carol L. Patrick, Ph.D.",OH,,517,Theft,Network Server
HOPE Family Health,TN,,6932,Theft,Laptop
"Paul G. Klein, DPM",NJ,,2500,Theft,Laptop
UnityPoint Health Affiliated Covered Entity (\UnityPoint\),IA,,1825,Unauthorized Access/Disclosure,Electronic Medical Record
TSYS Employee Health Plan,GA,"Paragon Benefits, Inc.",5232,Theft,E-mail
"University of California, San Francisco",CA,,3553,Theft,"Laptop, Paper"
"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,,2350,"Theft, Unauthorized Access/Disclosure",Paper
Group Health Cooperative,WA,,1015,Other,Paper
Schuylkill Health System,PA,,2810,Theft,Laptop
CaroMont Medical Group,NC,,1310,Other,E-mail
Mount SInai Medical Center,NY,,1586,Improper Disposal,Paper
Memorial Hospital of Lafayette County,WI,Healthcare Management System ,4330,Unauthorized Access/Disclosure,Paper
Saint Louis University,MO,,3100,Unauthorized Access/Disclosure,E-mail
MUSC Physicians & MUHA,SC,BlackHawk,7120,Hacking/IT Incident,Network Server
Ferris State University - MI College of Optometry,MI,,3947,Hacking/IT Incident,Network Server
"Access Counseling, LLC",IN,,566,Theft,Laptop
Rose Medical Center,CO,,606,Improper Disposal,Paper
BriovaRx,IL,,1067,Unauthorized Access/Disclosure,E-mail
"North Country Hospital and Health Center, Inc",VT,,550,Theft,Laptop
"Hope Community Resources, Inc.",AK,,1556,Unauthorized Access/Disclosure,E-mail
Broward Health Medical Center,FL,,960,Unauthorized Access/Disclosure,Desktop Computer
Sentara Healthcare,VA,,3645,Theft,"Electronic Medical Record, Paper"
Mount Sinai Medical Center,NY,,610,Loss,Other Portable Electronic Device
Texas Health Presbyterian Dallas Hospital,TX,,949,Theft,Desktop Computer
Seton Healthcare Family,TX,,5500,Theft,Laptop
BRONX-LEBANON HOSPITAL CENTER,NY,PROFESSIONAL TRANSCRIPTION SERVICES,10930,Unauthorized Access/Disclosure,Network Server
"Martin Luther King Jr. Health Center, Inc.",NY,PROFESSIONAL TRANSCRIPTION SERVICES,37000,Unauthorized Access/Disclosure,Network Server
SSM St. Mary's Health Center,MO,Saint Louis University,1300,Unauthorized Access/Disclosure,E-mail
Good Samaritan Hospital,CA,,3833,Theft,Laptop
SSM Health Care of Wisconsin DBA: St. Mary's Janesville Hospital,WI,,631,Theft,Laptop
AHMC Healthcare Inc. and affiliated Hospitals,CA,,729000,Theft,Laptop
"Greater Dallas Orthopaedics, PLLC",TX,,5840,Theft,Desktop Computer
"Spirit Home Health Care, Corp",FL,"Spirit Home Health Care, Corp",603,Improper Disposal,Paper
Rotech Healthcare Inc.,FL,,10680,Unauthorized Access/Disclosure,Laptop
"Reimbursement Technologies, Inc.",PA,,2300,Unauthorized Access/Disclosure,Network Server
Comprehensive Psychological Services LLC,SC,,3500,Theft,Laptop
"Superior HealthPlan, Inc.",TX,,6284,Other,Paper
Genesis Rehabilitation Services,PA,,1167,Loss,Other Portable Electronic Device
"Colorado Health & Wellness, Inc.",CO,,651,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Barnabas Health Medical Group,NJ,,1100,Theft,Laptop
"DaVita, a division of DaVita HealthCare Partners Inc",CO,,11500,"Theft, Other",Laptop
Blue Cross and Blue Shield of North Carolina,NC,,687,Unauthorized Access/Disclosure,Paper
North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,,1315,Unauthorized Access/Disclosure,Other
Puerto Rico Health Insurance Administration (PRHIA),PR,Triple S Salud Inc.,13336,Unauthorized Access/Disclosure,Paper
Triple-S Salud ,PR,,70189,Unauthorized Access/Disclosure,Paper
Associated Urologists of North Carolina,NC,,7300,Other,Other
Kemmet Dental Design ,ND,,2000,"Theft, Other",Paper
Hospice of the Chesapeake,MD,,7606,Unauthorized Access/Disclosure,E-mail
"Scottsdale Dermatology, LTD",AZ,All Source Medical Management,1456,Theft,Other
Memorial Sloan-Kettering Cancer Center,NY,,2279,Loss,Other Portable Electronic Device
Gerdau Ameristeel Health and Welfare Plan,FL,Health Fitness Corporation,3804,Theft,Laptop
Gerdau Macsteel Health and Welfare Plan,MI,Health Fitness Corporation,4837,Theft,Laptop
UHS-Pruitt Corporation,GA,,1300,Theft,Laptop
"United Dynacare, LLC dba Dynacare Laboratories",WI,,9328,Theft,Other Portable Electronic Device
Redwood Memorial Hospital,CA,,1039,Loss,Other Portable Electronic Device
Kaiser Foundation Hospital- Orange County,CA,,49000,Loss,Other Portable Electronic Device
Jones Chiropractic and Maximum Health,IN,,1500,Theft,Desktop Computer
Ronald Schubert MD PLLC,WA,,950,Theft,Laptop
UPMC,PA,,1279,Unauthorized Access/Disclosure,Electronic Medical Record
UW Medicine,WA,,76183,Hacking/IT Incident,Desktop Computer
City of Chicago,IL,,2080,Unauthorized Access/Disclosure,Network Server
CIty of Joliet,IL,"Quality Health Claims Consultants, LLC",1573,Unauthorized Access/Disclosure,E-mail
SIU HealthCare,IL,,1891,"Theft, Loss",Laptop
The Good Samaritan Health Center,GA,,5000,Other,Desktop Computer
UniHealth Source,GA,,4500,Theft,Laptop
Walgreen Co.,IL,,17350,Other,Paper
Methodist Dallas Medical Center,TX,,44000,Unauthorized Access/Disclosure,Other
Florida Digestive Health Specialists,FL,,4400,Unauthorized Access/Disclosure,Desktop Computer
"Northside Hospital, Inc.",GA,,4879,Loss,Laptop
"Health Help, Inc.",KY,,535,Theft,Other Portable Electronic Device
L.A. Gay & Lesbian Center,CA,,59000,Hacking/IT Incident,Network Server
Mosaic,NE,,3857,Other,E-mail
New Jersey Department of Human Services,NJ,Island Peer Review Organization,9642,Loss,Other Portable Electronic Device
"Fairfax County, Virginia",VA,Molina Healthcare In,1499,Unauthorized Access/Disclosure,Network Server
Wyoming Department of Health,WY,,11935,Unauthorized Access/Disclosure,Network Server
Shiloh Medical Clinic,MT,,1900,Unauthorized Access/Disclosure,"Desktop Computer, E-mail"
South Carolina Health Insurance Pool,SC,DeLoach & Williamson,3432,Theft,Laptop
Tennova Cardiology,TN,Colby DeHart,2777,Theft,Laptop
Delta Dental of Pennsylvania,PA,ZDI,1674,Loss,Paper
"Molina Healthcare of Texas, Inc.",TX,,2826,Other,Paper
"Rob Meaglia, DDS",CA,,1400,Theft,Desktop Computer
Jeff Spiegel,MA,,832,Unauthorized Access/Disclosure,E-mail
Tranquility Counseling Services,NC,,1683,Other,Paper
Florida Department of Health,FL,,2354,Unauthorized Access/Disclosure,Desktop Computer
"New Mexico Oncology Hematology Consultants, LTD",NM,,12354,Theft,Laptop
Department of Health Care Policy & Financing,CO,Colorado Community Health Alliance (CCHA)/Physicians Health Partners,1918,Unauthorized Access/Disclosure,E-mail
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,,839711,Theft,Laptop
Phoebe Putney Memorial Hospital,GA,,6989,Loss,Desktop Computer
Coulee Medical Center,WA,,2500,Unauthorized Access/Disclosure,"Laptop, Network Server, E-mail"
University of Pennsylvania Health System,PA,"RevSpring, Inc.",3000,Other,Paper
North Carolina Department of Health and Human Services ,NC,,48752,Unauthorized Access/Disclosure,Other
101 FAMILY MEDICAL GROUP,CA,"Phreesia, Inc",2500,Theft,Laptop
Tri Lakes Medical Center,MS,,1489,Hacking/IT Incident,Network Server
VA Dept. of Medical Assistance Services,VA,Virginia Premier Health Plan (VPHP),25513,"Unauthorized Access/Disclosure, Other",Paper
Cook County Health & Hospitals System,IL,,22511,Other,E-mail
Southwest General Health Center,OH,,953,Unknown,Other
"Robert B. Neves, M.D., Inc",CA,,611,Theft,Laptop
"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",398000,Theft,Network Server
"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",8000,"Theft, Unauthorized Access/Disclosure",Network Server
Urology Centers of Alabama PC and Urology Health Foundation,AL,"Birmingham Printing and Publishing, Inc dba Paper Airplane",1085,Other,Other
Medical Mutual of Ohio,OH,,1420,Unauthorized Access/Disclosure,Paper
Unity Health Plans Insurance Corporation,WI,University of Wisconsin-Madison School of Pharmacy,41437,Loss,Other Portable Electronic Device
The University of Texas MD Anderson Cancer Center,TX,,3598,Loss,Other Portable Electronic Device
Beebe Medical Center,DE,,1883,Other,Laptop
St. Joseph Health System ,TX,,405000,Hacking/IT Incident,Network Server
"Min Yi, M.D.",CA,,4676,Theft,Other Portable Electronic Device
Easter Seal Society of Superior California,CA,,3026,Theft,Laptop
PruittHealth Pharmacy Services,GA,,841,Theft,Laptop
"RGH Enterprises, Inc.",OH,,4230,Theft,Network Server
Network Pharmacy Knoxville,TN,,9602,Theft,Laptop
Saint Francis Hospital and Medical Center,CT,,858,Theft,Paper
Health Dimensions,MI,,5370,Theft,Network Server
COMPLETE MEDICAL HOMECARE,KS,,1700,Unauthorized Access/Disclosure,Other Portable Electronic Device
Hospital for Special Surgery,NY,,937,Theft,"Desktop Computer, Paper"
The Brooklyn Hospital Center,NY,,2172,Loss,Other Portable Electronic Device
Kmart Corporation,IL,,16446,Theft,"Other, Electronic Medical Record"
WA State Department of Social & Health Services,WA,,3104,"Unauthorized Access/Disclosure, Other",Paper
"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,,6475,"Theft, Other",Laptop
University of Miami,FL,,13074,Loss,Paper
"Supportive Concepts for Families, Inc.",PA,,593,Unauthorized Access/Disclosure,Network Server
Health Care Solutions at Home Inc.,OH,,1139,Other,Other
University of California Davis Medical Center,CA,,2269,Hacking/IT Incident,E-mail
"St. Vincent Hospital and Healthcare, Inc",IN,,1142,Theft,Laptop
Missouri Consolidated Health Care Plan,MO,"StayWell Health Management, LLC",10024,Unauthorized Access/Disclosure,Network Server
The Clorox Company Group Insurance Plan,CA,"StayWell Health Management, LLC",520,Unauthorized Access/Disclosure,Network Server
Regents of the University of Minnesota,MN,"StayWell Health Management, LLC",4786,Unauthorized Access/Disclosure,Network Server
Inspira Health Network Inc.,NJ,,1411,Theft,Desktop Computer
"Nissan North America, Inc.",TN,"StayWell Health Management, LLC",1511,Unauthorized Access/Disclosure,Network Server
"Care Advantage, Inc.",VA,,3458,Theft,Laptop
HealthSource of Ohio Inc.,OH,Pair Networks Inc.,8845,"Unauthorized Access/Disclosure, Other",Other
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,,504,Other,Electronic Medical Record
"Cornerstone Health Care, PA",NC,,548,"Theft, Loss",Laptop
Joseph Michael Benson M.D,TX,,7500,Theft,Desktop Computer
All for Kids Pediatric Clinic,AR,Data Media,600,Other,Other
Eureka Internal Medicine,CA,,3534,Improper Disposal,Paper
Brazos Valley Pathology,TX,St. Joseph Health System,3300,Hacking/IT Incident,Network Server
Banner Health,AZ,,55207,Other,Other
Monarch Women's Health,AL,"PracMan, Inc.",1145,Hacking/IT Incident,Network Server
"Punuru J.M. Reddy, MD, Inc.",AL,"PracMan, Inc.",1179,Hacking/IT Incident,Network Server
Iowa Dept. of Human Services,IA,,2042,Other,"Laptop, E-mail, Other Portable Electronic Device"
City of Hope,CA,"Sutherland Healthcare Solutions, Inc.",5400,Theft,"Desktop Computer, E-mail"
Mission City Community Network,CA,,7800,Theft,E-mail
"Partners In Nephrology & Endocrinology, P.C.",PA,,5000,Other,Other
"University of California, San Francisco",CA,,9861,Theft,Desktop Computer
Detroit Medical Center - Harper University Hospital,MI,,1087,"Theft, Unauthorized Access/Disclosure",Paper
"Todd M. Burton, M.D.",TX,,5000,Theft,Other
Valley View Hospital Association,CO,,5415,Other,"Laptop, Desktop Computer"
Hospitalists of Arizona,AZ,,1706,Theft,Laptop
"McBroom Clinic, PA",TX,TMA Practice Management Group,2260,"Loss, Improper Disposal",Other Portable Electronic Device
"QBE Holdings, Inc.",NY,"StayWell Health Management, LLC",1746,Unauthorized Access/Disclosure,Network Server
Berea College,KY,,1000,Other,Electronic Medical Record
"HealthPartners, Inc.",MN,,27839,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device"
"Group Health Plan, Inc. Medical Benefit Plan",MN,"HealthPartners Administrators, Inc.",796,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device"
State Employee Group Insurance Plan,MN,"HealthPartners Administrators, Inc.",1699,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device"
University of Minnesota Employee Benefits,MN,"HealthPartners Administrators, Inc.",715,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device"
San Francisco General Hospital & Trauma Center,CA,Sutherland Healthcare Solutions,55900,Theft,Desktop Computer
University of Kentucky UK HealthCare,KY,Talyst,1079,Theft,Laptop
Yellowstone Boys and Girls Ranch,MT,,543,Theft,Paper
"Orlando Health, Inc.",FL,,586,Loss,Other Portable Electronic Device
NOVA Chiropractic & Rehab Center,VA,,5534,"Loss, Other",Other Portable Electronic Device
Susquehanna Health,PA,,657,Unauthorized Access/Disclosure,E-mail
Jewish Hospital,KY,,2992,Other,E-mail
Franciscan Medical Group,WA,,8300,Other,E-mail
Palomar Health,CA,,5499,Theft,Other Portable Electronic Device
"Myriad Genetic Laboratories, Inc.",UT,,643,Unauthorized Access/Disclosure,E-mail
Medical Center of Plano,TX,"RelayHealth, a division of McKesson",1000,Unauthorized Access/Disclosure,Other
Florida Healthy Kids Corporation,FL,"Policy Studies, Inc. / Postal Center International, Inc.",580,Unauthorized Access/Disclosure,Paper
"Midwest Orthopaedics at Rush, LLC",IL,,1256,Hacking/IT Incident,E-mail
Texas Health and Human Services Commission,TX,"EveryChild, Inc.",2934,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device"
Kaiser Permanente Northern CA Department of Research,CA,,5178,Hacking/IT Incident,Network Server
Triple-S Salud ,PR,,5795,Theft,Other
American Health Inc. ,PR,,17776,Theft,Other
"State Long Term Care Ombudsman's Office, Michigan Department of Community Health",MI,,2595,Theft,Other Portable Electronic Device
County of Los Angeles,CA,"Sutherland Healthcare Solutions, Inc.",338700,Theft,"Desktop Computer, E-mail"
Presence St. Joseph's Medical Center,IL,,836,Other,Paper
"Clinical Reference Laboratory, Inc.",KS,,979,Loss,Paper
Various Health Plans,CT,Cigna,527,Loss,Paper
"Amerigroup Texas, Inc. ",VA,"Amerigroup Texas, Inc. ",75026,Theft,Paper
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,,2546,Unauthorized Access/Disclosure,Other
"University Urology, P.C.",TN,,1144,Unauthorized Access/Disclosure,Paper
"Healthy Connections, Inc",CA,,793,Loss,Other Portable Electronic Device
Administracion de Seguros de Salud,PR,American Health Medicare,46473,Theft,Other Portable Electronic Device
Greenwood Leflore Hospital,MS,,3750,Theft,Other
Maryland Developmental Disabilities Administration,MD,"Service Coordination, Inc.",10766,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
Los Robles Hospital and Medical Center,CA,"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",2523,"Theft, Unauthorized Access/Disclosure",Paper
Shaker Clinic,OH,,617,Loss,Paper
VGM Homelink,IA,Tri State Adjustments,1400,Other,Other
Larsen Dental Care LLC,ID,,6900,Theft,Other Portable Electronic Device
The Union Labor Life Insurance Company,MD,,46771,Theft,Laptop
Coordinated Health,PA,,733,Theft,Laptop
CENTURA HEALTH,CO,,12286,Hacking/IT Incident,E-mail
"Ladies First Choice, Inc.",FL,,2365,"Theft, Unauthorized Access/Disclosure",Laptop
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,,8830,Theft,Other
Developmental Disabilities Administration,MD,Inclusion Research Institute,2200,Unauthorized Access/Disclosure,Paper
Willis North America Inc. Medical Expense Benefit Plan,NY,,4830,Unauthorized Access/Disclosure,E-mail
Sorenson Communications/CaptionCall Group Health Plan,UT,Sorenson Communications,9800,Hacking/IT Incident,Network Server
Baylor Medical Center at McKinney,TX,,1253,Hacking/IT Incident,E-mail
Baylor Medical Center at Irving,TX,,2308,Hacking/IT Incident,E-mail
Baylor Regional Medical Center at Plano,TX,,1981,Hacking/IT Incident,E-mail
HealthTexas Provider Network,TX,,2742,Hacking/IT Incident,E-mail
DeKalb Health,IN,"Ferguson Advertising, Inc.",1361,Hacking/IT Incident,Network Server
Iowa Medicaid Enterprise,IA,,862,Unauthorized Access/Disclosure,Paper
Flowers Hospital,AL,,629,Theft,Paper
Reading Health System,PA,,1845,Loss,Paper
City of Cincinnati,OH,OptumRx,5696,Other,Paper
UMass Memorial Medical Center,MA,,2387,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper"
The City of Henderson,KY,KEYSTONE INSURERS GROUP,1008,Other,E-mail
Options Counseling Center,NJ,,2828,"Theft, Unauthorized Access/Disclosure",Paper
"Molina Healthcare of California Partner Plan, Inc.",CA,Creel Printing,4744,Other,Paper
Howard L. Weinstein D.P.M.,TX,,1000,Theft,Laptop
"Bio-Reference Laboratories, Inc.",NJ, Xand Corporation,1749,Other,Network Server
American Health Inc. ,PR,,11531,Unauthorized Access/Disclosure,Paper
Central City Concern,OR,,17914,Unauthorized Access/Disclosure,Other
Blue Cross Blue Shield of Michigan/Blue Care Network,MI,Bloom Health,502,"Unauthorized Access/Disclosure, Hacking/IT Incident",E-mail
Elliot Health System,NH,,1208,Theft,Desktop Computer
Humana Inc [case #15381],KY,,2962,Theft,Other Portable Electronic Device
Jamaica Hospital Medical Center,NY,,26162,Unauthorized Access/Disclosure,Desktop Computer
Bay Park Hospital,OH,,594,Unauthorized Access/Disclosure,"Network Server, Electronic Medical Record"
Triple-S Salud ,PR,,56853,Unauthorized Access/Disclosure,Paper
Aetna Life Insurance Company,CT,"NFP Maschino, Hudelson & Associates",3814,Theft,Laptop
Salina Health Education Foundation dba Salina Family Healthcare Center,KS,,9640,Unauthorized Access/Disclosure,E-mail
Highmark Inc.,PA,,2589,"Loss, Unauthorized Access/Disclosure",Paper
